SO HD,NGAY,MA KH,TEN KH,MÃ NV,Tên NV,MÃ HH,TÊN SP,SL,ĐƠN GIÁ,THÀNH TIỀN,VAT,NHÃN HÀNG,CỬA HÀNG,HỆ THỐNG,20250228
25020000779,04/02/2025,LOTTE_Q7,Công Ty Cổ Phần Trung Tâm Thương Mại Lotte Việt Nam,NV0133,Thảo Nguyên - MT ,6040022,Pin Fujitsu - R03/2400(BP4) - R03N(4B)FJEUNIC -  AAA   (3402),2,20000,40000,44000,FUJITSU,LOTTE NAM SAI GON,LOTTE,20250228
25020000780,04/02/2025,COOP_ADONG,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),30,12000,360000,396000.00000000006,FUJITSU,COOP HUNG VUONG,COOP MART,20250228
25020000781,04/02/2025,COOP_NDC,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),48,32000,1536000,1689600.0000000002,FUJITSU,COOP NGUYEN DINH CHIEU,COOP MART,20250228
25020000782,04/02/2025,COOP_CLAY,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),48,32000,1536000,1689600.0000000002,FUJITSU,COOP CAI LAY,COOP MART,20250228
25020000783,04/02/2025,COOP_VPHUC,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2320001,Muối Nổi Baking Soda 453g - Fresh Box (1101),24,32000,768000,844800.0000000001,FUJITSU,COOP VINH PHUC,COOP MART,20250228
25020000783,04/02/2025,COOP_VPHUC,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,2320004,Muối Nổi Baking Soda 100g - Fresh Box (5854),30,12000,360000,396000.00000000006,BAKING SODA,COOP VINH PHUC,COOP MART,20250228
25020000784,04/02/2025,COOP_PNHUAN,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,6010004,Pin Fujitsu - LR03(4B) FU-W-FI - AAA    (5504),10,35100,351000,386100.00000000006,FUJITSU,COOP NGUYEN KIEM,COOP MART,20250228
25020000784,04/02/2025,COOP_PNHUAN,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,6040022,Pin Fujitsu - R03/2400(BP4) - R03N(4B)FJEUNIC -  AAA   (3402),10,18000,180000,198000.00000000003,FUJITSU,COOP NGUYEN KIEM,COOP MART,20250228
25020000784,04/02/2025,COOP_PNHUAN,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,6050002,Pin Fujitsu - R6(4B) F-GP - AA    (2115),20,13860,277200,304920,FUJITSU,COOP NGUYEN KIEM,COOP MART,20250228
25020000784,04/02/2025,COOP_PNHUAN,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,6050004,Pin Fujitsu - R03(4B) F-GP - AAA     (3112),10,13860,138600,152460,FUJITSU,COOP NGUYEN KIEM,COOP MART,20250228
25020000784,04/02/2025,COOP_PNHUAN,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,6050005,Pin Fujitsu - R14(2B) F-GP - C       (1118),10,16200,162000,178200,FUJITSU,COOP NGUYEN KIEM,COOP MART,20250228
25020000785,04/02/2025,COOP_CCHI,Liên Hiệp HTX TM TP.HCM,NV0132,Lữ Diệu Quang ,6010003,Pin Fujitsu - LR03(2B) FU-W- FI - AAA     (3500),30,18000,540000,594000,FUJITSU,COOP CU CHI,COOP MART,20250228
